IDENTIFIER	chrom	start	stop	symbol	is_refseq	refseq_id
10345025	13	NA	NA	10345025	false	NM_172015
10345028	1	20669091	20669163	Mir206	false	NA
10345030	1	20672850	20672968	Mir133b	false	NA
10345032	1	20720986	20724577	Il17a	true	NM_010552
10345037	1	20880689	20929138	Paqr8	true	NM_028829
10345046	1	20941769	20980920	Efhc1	true	NM_027974
10345058	1	21208710	21273758	Tmem14a	true	NM_029398
10345065	1	21230670	21255640	Gsta3	true	NM_001077353
10345074	3	NA	NA	10345074	false	NM_145825
10345077	1	21339995	21342280	Khdc1a	true	NM_183322
10345079	1	21358412	21359824	Khdc1a	true	NM_183322
10345083	1	21374018	21375051	Khdc1b	true	NM_001113187
10345087	1	23279108	23279178	Mir30a	false	NA
10345089	1	23298540	23298623	Mir30c-2	false	NA
10345091	1	23768765	23855432	B3gat2	true	NM_172124
10345099	1	24012344	24012733	1110058L19Rik	true	NM_026503
10345101	1	24184539	24259513	Col9a1	true	NM_007740
10345141	1	24593456	24823142	Lmbrd1	true	NM_026719
10345167	1	25068786	25069604	10345167	false	NA
10345172	1	25887502	25888723	Gm9884	false	NA
10345174	1	28046851	28048335	Gm9884	false	NA
10345181	1	28994880	28995185	Gm6462	false	NA
10345183	8	NA	NA	10345183	false	NM_194446
10345190	1	31233280	31261572	Lgsn	true	NM_153601
10345197	1	31279684	31281132	4930521A18Rik	true	NM_029062
10345200	1	31331738	31344551	LOC100505265	false	NA
10345203	7	NA	NA	10345203	false	NM_153783
10345206	1	31792901	31793737	10345206	false	NA
10345212	1	32229572	32715128	Khdrbs2	true	NM_133235
10345224	1	33350521	33350631	10345224	false	NA
10345226	1	33479578	33479683	10345226	false	NA
10345228	1	33726669	33727551	1700001G17Rik	false	NA
10345230	1	33776741	33798342	Rab23	true	NM_008999
10345241	1	33965117	34365497	Dst	true	NM_134448
10345352	1	34424597	34425851	10345352	false	NA
10345357	1	34496745	34502592	Imp4	true	NM_178601
10345368	1	34503607	34503825	D1Ertd448e	false	NA
10345370	1	34516591	34530631	Ptpn18	true	NM_011206
10345387	1	34555275	34559907	Prss39	true	NM_009355
10345393	1	34592493	34601156	Cfc1	true	NM_007685
10345401	1	34636572	34647789	Fam123c	true	NM_213727
10345404	1	34779929	34781146	10345404	false	NA
10345406	1	34788960	34802289	Arhgef4	false	NA
10345409	1	34850071	34850207	Arhgef4	false	NA
10345411	1	34858567	34869599	Arhgef4	true	NM_183019
10345423	1	34906836	34936425	Plekhb2	true	NM_145516
10345436	1	34973286	34974005	LOC280487	false	NA
10345438	1	34986963	34987488	10345438	false	NA
10345440	1	35818447	35818551	10345440	false	NA
10345442	1	36125245	36163291	Hs6st1	true	NM_015818
10345445	1	36364599	36380874	Arid5a	true	NM_001172205
10345457	1	36466236	36478750	10345457	false	NA
10345482	1	36528465	36565603	Cnnm4	true	NM_033570
10345492	1	36568721	36585082	Cnnm3	true	NM_001039551
10345504	1	36748332	36750233	Cox5b	true	NM_009942
10345509	1	36818670	36839663	Zap70	true	NM_009539
10345527	1	37062284	37062402	10345527	false	NA
10345529	1	37083441	37180894	Vwa3b	false	NA
10345546	1	37185729	37185905	Vwa3b	false	NA
10345548	1	37192280	37192410	Vwa3b	false	NA
10345550	1	37194575	37194732	Vwa3b	false	NA
10345552	1	37197936	37198049	Vwa3b	false	NA
10345554	1	37199574	37199661	Vwa3b	false	NA
10345556	1	37199756	37199912	Vwa3b	false	NA
10345558	1	37210689	37244455	Vwa3b	false	NA
10345571	1	37276106	37320231	Cnga3	true	NM_009918
10345580	1	37414764	37465104	Inpp4a	true	NM_030266
10345608	1	37487017	37495969	Unc50	true	NM_026123
10345616	1	37929051	37934232	Lipt1	true	NM_001037918
10345620	1	37947398	37955183	Mrpl30	true	NM_027098
10345626	1	38054855	38112424	Eif5b	true	NM_198303
10345656	1	38995994	39007123	Nms	true	NM_001011684
10345666	1	39044649	39054081	Pdcl3	true	NM_026850
10345675	1	39251049	39419031	Npas2	true	NM_008719
10345698	1	39424994	39428752	Rpl31	true	NM_053257
10345704	1	39576378	39576591	10345704	false	NA
10345706	1	39592647	39603736	D1Bwg0212e	false	NA
10345715	1	39958015	40081770	Map4k4	true	NM_008696
10345752	1	40141613	40182072	Il1r2	true	NM_010555
10345762	1	40281925	40373022	Il1r1	true	NM_008362
10345777	1	40381475	40432623	Il1rl2	true	NM_133193
10345791	1	40486442	40522257	Il1rl1	true	NM_001025602
10345807	1	40522521	40557678	Il18r1	true	NM_008365
10345824	1	40572207	40606150	Il18rap	true	NM_010553
10345840	1	40637046	40687576	Slc9a4	true	NM_177084
10345855	1	40738470	40826111	Slc9a2	true	NM_001033289
10345869	1	40862611	40911849	Tmem182	true	NM_001081198
10345875	1	42160152	42192374	10345875	false	NA
10345877	1	42286571	42287953	Gm9915	false	NA
10345879	1	42753991	42757055	Pou3f3	true	NM_008900
10345882	1	42908128	42962528	Mrps9	true	NM_023514
10345895	1	43009717	43092294	Gpr45	true	NM_053107
10345902	1	43149433	43150680	8430432A02Rik	false	NA
10345904	1	43155555	43172791	AI597479	true	NM_133818
10345909	1	43246001	43246483	Rpl29-ps2	false	NA
10345911	1	43327538	43327968	10345911	false	NA
10345913	1	43502596	43627360	Nck2	true	NM_010879
10345921	1	43787538	43799423	1500015O10Rik	true	NM_024283
10345926	1	43944898	43945440	1500015O10Rik	false	NA
10345928	1	43955145	43955957	10345928	false	NA
10345930	1	43990847	44059844	Tpp2	true	NM_009418
10345967	1	44176007	44201615	Bivm	true	NM_144558
10345981	1	44204692	44238105	Ercc5	true	NM_011729
10346000	1	44608356	44853678	Gulp1	true	NM_028450
10346015	1	45368491	45405865	Col3a1	true	NM_009930
10346067	1	45615628	45616128	10346067	false	NA
10346069	1	45658871	45659601	10346069	false	NA
10346072	1	45803740	45803870	10346072	false	NA
10346074	1	45852311	45880460	Wdr75	true	NM_028599
10346098	1	45962474	45963649	10346098	false	NA
10346105	11	NA	NA	10346105	false	NM_207523
10346107	1	46232431	46232727	Dnahc7b	false	NA
10346109	1	46346411	46418126	Dnahc7b	true	NM_001160386
10346114	1	46431042	46431160	10346114	false	NA
10346116	1	46487608	46864207	10346116	false	NA
10346137	1	48938557	48939567	10346137	false	NA
10346139	1	49293099	49293775	10346139	false	NA
10346141	1	49301460	49397275	C230029F24Rik	false	NA
10346146	1	50094247	50115322	10346146	false	NA
10346150	1	50984367	51244114	Tmeff2	true	NM_019790
10346164	1	51345970	51359804	Sdpr	true	NM_138741
10346168	1	52065087	52164031	Stat4	true	NM_011487
10346191	1	52176282	52218707	Stat1	true	NM_009283
10346222	1	52648227	52648946	LOC280487	false	NA
10346224	1	52687581	52708763	Tmem194b	true	NM_001142647
10346235	1	52901890	52977830	Hibch	true	NM_146108
10346250	1	53118507	53124923	Mstn	true	NM_010834
10346255	1	53353955	53367153	Ormdl1	true	NM_145517
10346260	1	53370505	53383187	Osgepl1	true	NM_028091
10346269	1	54307527	54425571	Ccdc150	true	NM_030025
10346298	1	55109614	55129546	Coq10b	true	NM_001039710
10346303	1	55145161	55148151	Hspe1	true	NM_008303
10346310	1	55188136	55211736	Mobkl3	true	NM_025283
10346321	1	55283571	55285540	Gm10561	false	NA
10346323	1	55294021	55296902	Mars2	true	NM_175439
10346328	1	55392238	55392775	Mars2	false	NA
10346330	1	55463232	55808307	Plcl1	true	NM_001114663
10346337	1	57434526	57440462	1700066M21Rik	true	NM_028546
10346340	1	57463602	57474797	9430016H08Rik	true	NM_001081181
10346348	1	57831769	58005238	Spats2l	true	NM_144882
10346365	1	58052910	58082741	Sgol2	true	NM_199007
10346374	1	58086813	58163257	Aox1	true	NM_009676
10346410	1	58169980	58257296	Aox3	true	NM_023617
10346448	1	58267241	58325441	Aox4	true	NM_023631
10346485	1	58335170	58436108	Aox3l1	true	NM_001008419
10346523	1	58449971	58463397	Bzw1	true	NM_025824
10346533	1	58501995	58537907	Nif3l1	true	NM_022988
10346544	1	58643162	58652792	Ndufb3	true	NM_025597
10346549	6	NA	NA	10346549	false	NM_007624
10346551	1	58768352	58812017	Cflar	true	NM_207653
10346562	1	58813722	58815728	Cflar	true	NM_207653
10346564	1	58852218	58904347	Casp8	true	NM_009812
10346576	1	59030415	59052559	Stradb	true	NM_172656
10346592	1	59176678	59177112	Als2cr4	true	NM_001033449
10346594	1	59314691	59401201	Cdk15	true	NM_001033373
10346607	1	59539023	59543803	Fzd7	true	NM_008057
10346611	1	59573108	59691353	Gm973	true	NM_001013771
10346634	1	59741849	59768968	Nop58	true	NM_018868
10346651	1	59821123	59927703	Bmpr2	true	NM_007561
10346668	1	59969850	60042191	Fam117b	true	NM_001037725
10346678	1	60155125	60207878	Carf	true	NM_139150
10346695	1	60238339	60317223	Nbeal1	true	NM_173444
10346722	1	60325330	60388304	Nbeal1	true	NM_173444
10346747	1	60400216	60444904	Cyp20a1	true	NM_030013
10346764	1	60466539	60538002	Abi2	true	NM_001198571
10346780	11	NA	NA	10346780	false	NM_144958
10346783	1	60803263	60830203	Cd28	true	NM_007642
10346790	1	60965869	60972675	Ctla4	true	NM_009843
10346799	1	61034758	61055963	Icos	true	NM_017480
10346808	18	NA	NA	10346808	false	NM_001002239
10346810	1	61685408	62684497	Pard3b	true	NM_001081050
10346838	1	62685419	62686957	Pard3b	true	NM_001081050
10346840	1	62707413	62708293	10346840	false	NA
10346843	1	62749891	62865266	Nrp2	true	NM_001077403
10346867	1	63223703	63226552	Eef1b2	true	NM_018796
10346874	1	63225254	63225322	10346874	false	NA
10346876	1	63225578	63225709	Snora41	false	NA
10346878	1	63337312	63356519	Zdbf2	true	NM_028673
10346882	1	63492478	63643089	Adam23	true	NM_011780
10346914	1	63777225	63799959	Fastkd2	true	NM_172422
10346928	1	63950705	63982496	10346928	false	NA
10346938	1	64011301	64015573	Gm13749	false	NA
10346941	1	64196745	64197239	10346941	false	NA
10346943	1	64579378	64651124	Creb1	true	NM_133828
10346960	1	64747455	64770213	Ccnyl1	true	NM_001097644
10346970	1	65233259	65325270	Pikfyve	true	NM_011086
10347018	1	65357831	65435818	Pth2r	true	NM_139270
10347033	1	65973096	65974881	Crygf	true	NM_027010
10347036	1	66221903	66489157	Mtap2	true	NM_001039934
10347058	1	66482656	66482806	10347058	false	NA
10347060	1	66514987	66557259	Unc80	true	NM_175510
10347073	1	66673770	66743223	Unc80	true	NM_175510
10347106	1	66747434	66766379	Rpe	true	NM_025683
10347117	1	67169640	67277833	Cps1	true	NM_001080809
10347158	1	67631768	67633575	10347158	false	NA
10347163	1	69873552	70771706	Spag16	true	NM_029160
10347186	1	70643389	70643495	10347186	false	NA
10347188	1	70772289	70931971	Vwc2l	true	NM_177164
10347193	1	71603733	71625978	Atic	true	NM_026195
10347210	1	71699566	71703819	Gm15456	false	NA
10347214	1	71901411	71901882	10347214	false	NA
10347216	5	NA	NA	10347216	false	NM_019647
10347218	1	72272814	72273004	10347218	false	NA
10347220	1	72283520	72283710	10347220	false	NA
10347222	1	72290787	72290977	10347222	false	NA
10347224	1	72301582	72301772	10347224	false	NA
10347226	1	72330947	72349677	Tmem169	true	NM_175564
10347232	1	72354055	72441522	Xrcc5	true	NM_009533
10347254	1	72629845	72679708	Smarcal1	true	NM_018817
10347273	1	72757864	72760259	Rpl37a	true	NM_009084
10347277	1	72871066	72899048	Igfbp2	true	NM_008342
10347282	1	74172115	74194797	Rufy4	true	NM_001170641
10347291	1	74200568	74207820	Cxcr2	true	NM_009909
10347295	1	74259387	74259489	10347295	false	NA
10347297	1	74283124	74314787	Arpc2	true	NM_029711
10347307	1	74325124	74326198	Gpbar1	true	NM_174985
10347310	1	74331521	74400266	Pnkd	true	NM_001039509
10347324	1	74408682	74415895	Gm216	true	NM_001033345
10347335	1	74421777	74433055	Slc11a1	true	NM_013612
10347351	1	74438173	74443859	Ctdsp1	true	NM_153088
10347362	1	74440884	74440968	Mir26b	false	NA
10347364	1	74455980	74482141	Vil1	true	NM_009509
10347386	1	74551825	74577416	Rqcd1	true	NM_021383
10347398	1	74589462	74614368	Plcd4	true	NM_001081456
10347417	1	74634935	74639017	Bcs1l	true	NM_025784
10347427	1	74648029	74683470	Stk36	true	NM_175031
10347460	1	74708328	74744549	Ttll4	true	NM_001014974
10347481	1	74760148	74784466	Cyp27a1	true	NM_024264
10347491	1	74818532	74831522	Wnt6	true	NM_009526
10347497	1	74838090	74850753	Wnt10a	true	NM_009518
10347503	1	74901672	74903258	Cdk5r2	true	NM_009872
10347508	1	75139360	75144483	Fam134a	true	NM_170755
10347521	1	75165284	75168199	Zfand2b	true	NM_026846
10347531	1	75188709	75195962	Ankzf1	true	NM_026187
10347552	1	75207430	75212181	Stk16	true	NM_011494
10347564	1	75233040	75242267	Dnajb2	true	NM_001159883
10347583	1	75356919	75364291	Des	true	NM_010043
10347593	1	75371872	75429008	Speg	true	NM_007463
10347639	1	75432559	75439749	Gmppa	true	NM_133708
10347650	1	75447035	75470915	Accn4	true	NM_183022
10347662	1	75476142	75482280	Tmem198	true	NM_177056
10347669	1	75503652	75506929	Inha	true	NM_010564
10347672	1	75518121	75533910	Stk11ip	true	NM_027886
10347697	1	75542846	75555658	Slc4a3	true	NM_009208
10347724	1	75557576	75557935	Slc4a3	false	NA
10347726	1	75632983	75633754	LOC100504876	false	NA
10347728	1	77046905	77047444	10347728	false	NA
10347730	1	77062542	77063167	10347730	false	NA
10347734	1	78306920	78416864	Sgpp2	true	NM_001004173
10347741	1	78508466	78535016	Mogat1	true	NM_026713
10347748	1	78654449	78703566	Acsl3	true	NM_028817
10347767	1	78813496	78816603	Kcne4	true	NM_021342
10347772	1	79760625	79760960	Gm10555	false	NA
10347774	1	79772708	79778019	Mrpl44	true	NM_001081210
10347779	1	80187694	80187960	9830004L10Rik	false	NA
10347781	1	81073892	81338339	9430031J16Rik	true	NM_172849
10347790	1	82102138	82103558	10347790	false	NA
10347792	1	82229682	82233665	10347792	false	NA
10347796	1	82313172	82441941	Rhbdd1	true	NM_029777
10347807	1	82583551	82717843	Col4a3	true	NM_007734
10347860	1	82631575	82631689	10347860	false	NA
10347862	1	82721493	82748969	Mff	true	NM_029409
10347873	1	82836058	82892850	Agfg1	true	NM_010472
10347888	1	83113357	83123252	Ccl20	true	NM_016960
10347895	1	83156337	83207145	Wdr69	true	NM_027725
10347910	1	84836430	84897059	Fbxo36	true	NM_025386
10347915	1	84960244	84961134	Gm7609	true	NM_001081746
10347917	11	NA	NA	10347917	false	NM_009078
10347919	1	85096739	85097110	A530040E14Rik	false	NA
10347921	1	85108063	85110600	A530040E14Rik	false	NA
10347925	1	85198799	85210115	Gm7609	true	NM_001081746
10347928	1	85271682	85273595	Sp110	true	NM_175397
10347931	1	87472251	87473870	G530012D18Rik	false	NA
10347933	1	87497278	87541612	Sp140	true	NM_001013817
10347948	1	87546589	87606023	Sp100	true	NM_013673
10347968	1	87571454	87571560	Sp100	false	NA
10347970	1	87690360	87746940	Cab39	true	NM_133781
10347980	1	87791140	87805267	Itm2c	true	NM_022417
10347988	1	87825579	87828100	4933407L21Rik	false	NA
10347992	1	87918518	87926533	Spata3	true	NM_027300
10348000	1	87942843	87952030	2810459M11Rik	true	NM_001144992
10348004	1	87961194	88035870	Psmd1	true	NM_027357
10348032	1	88051367	88231207	Armc9	true	NM_030184
10348062	1	88199819	88203880	B3gnt7	true	NM_145222
10348070	1	88255651	88256536	Ncl	true	NM_010880
10348072	1	88268585	88269085	10348072	false	NA
10348074	1	88322904	88324624	1700019O17Rik	true	NM_027966
10348076	1	88370234	88370581	Rpl30-ps6	false	NA
10348078	1	88423300	88427273	Ptma	true	NM_008972
10348087	1	88483675	88503075	Cops7b	true	NM_172974
10348096	1	88600394	88946670	Dis3l2	true	NM_001172157
10348119	1	88964615	88967570	10348119	false	NA
10348131	1	89021583	89024487	Akp3	true	NM_007432
10348144	1	89083240	89084978	10348144	false	NA
10348150	1	89087212	89096645	Chrnd	true	NM_021600
10348166	1	89102385	89109269	Chrng	true	NM_009604
10348180	1	89110489	89137063	Eif4e2	true	NM_001039169
10348194	1	89160938	89207416	Efhd1	true	NM_028889
10348201	1	89223617	89347371	Gigyf2	true	NM_146112
10348234	1	89340227	89494420	Neu2	true	NM_001160165
10348240	1	89366838	89372056	3110079O15Rik	false	NA
10348244	1	89516937	89617078	Inpp5d	true	NM_010566
10348277	1	89652646	89689000	Atg16l1	true	NM_029846
10348299	1	89693042	89693392	5830472F04Rik	false	NA
10348301	1	89700255	89741733	Sag	true	NM_009118
10348321	1	89749886	89841065	Dgkd	true	NM_177646
10348354	1	89921796	90116577	Ugt1a9	true	NM_201644
10348376	1	90155526	90158454	Heatr7b1	true	NM_001177364
10348378	1	90199857	90285426	Trpm8	true	NM_134252
10348410	1	90303594	90323013	Spp2	true	NM_029269
10348420	1	90828932	90830145	10348420	false	NA
10348424	1	90966990	91050374	Sh3bp4	true	NM_133816
10348432	1	91351386	91791857	Agap1	true	NM_178119
10348451	1	92100578	92112863	Cxcr7	true	NM_007722
10348456	1	92499556	92509916	Cops8	true	NM_133805
10348468	1	92571736	92576368	Gm9991	false	NA
10348471	1	92811680	92847719	Mlph	true	NM_053015
10348489	1	92849682	92850589	Prlh	true	NM_001101647
10348493	1	92895381	93025495	Lrrfip1	true	NM_008515
10348521	1	93041680	93067372	Rbm44	true	NM_001033408
10348537	1	93076400	93121773	Ramp1	true	NM_016894
10348547	1	93147143	93182501	Ube2f	true	NM_026454
10348556	1	93192622	93193513	Ube2f	false	NA
10348558	1	93194915	93217657	Scly	true	NM_016717
10348570	1	93218652	93244880	Espnl	true	NM_001033292
10348580	1	93247650	93258981	Klhl30	true	NM_027551
10348590	1	93263007	93270794	Fam132b	true	NM_173395
10348600	1	93391244	93425102	Traf3ip1	true	NM_028718
10348618	1	93437142	93456167	Asb1	true	NM_001039126
10348632	1	93698038	93744605	Twist2	true	NM_007855
10348635	1	94469702	94470783	Olfr1413	true	NM_147037
10348637	1	94484909	94485874	Olfr1412	true	NM_146277
10348639	1	94493098	94494069	Olfr1411	true	NM_146490
10348641	1	94504416	94505424	Olfr1410	true	NM_146491
10348643	1	94516458	94517513	Olfr12	true	NM_206896
10348645	1	94683531	94882968	Gpr35	true	NM_022320
10348653	1	94728263	94756773	Gpc1	true	NM_016696
10348664	1	94746955	94747020	Mir149	false	NA
10348666	1	94803566	94805197	Dusp28	true	NM_175118
10348670	1	94807982	94817157	Rnpepl1	true	NM_181405
10348682	1	94830953	94844525	Capn10	true	NM_011796
10348697	1	94902902	94908846	Aqp12	true	NM_177587
10348702	1	95031822	95041998	Agxt	true	NM_016702
10348713	1	95077685	95120348	E030010N08Rik	false	NA
10348739	1	95132418	95197642	Sned1	true	NM_172463
10348775	1	95239431	95264195	Ppp1r7	true	NM_023200
10348789	1	95259832	95259934	10348789	false	NA
10348791	1	95270473	95300079	Ano7	true	NM_207031
10348817	1	95375621	95406307	Sept2	true	NM_001159719
10348829	1	95408702	95518588	Farp2	true	NM_145519
10348858	1	95582271	95592341	Bok	true	NM_016778
10348864	1	95647278	95647514	Thap4	true	NM_025920
10348866	1	95651584	95686106	Atg4b	true	NM_174874
10348879	1	95700542	95718678	Ing5	true	NM_025454
10348889	1	95721838	95814696	D2hgdh	true	NM_178882
10348896	1	95749069	95773071	Gal3st2	true	NM_199366
10348902	1	95815014	95837816	Gal3st2	true	NM_199366
10348906	1	95887086	95908118	Gm6086	true	NM_001039219
10348910	1	95917070	95924911	Neu4	true	NM_173772
10348917	1	97210200	97231642	Fam174a	true	NM_026321
10348924	1	97395174	97395786	Gm15427	true	NM_001111116
10348927	1	98513676	98513782	10348927	false	NA
10348929	6	NA	NA	10348929	false	NM_133834
10348932	1	99666772	99690285	Gin1	true	NM_026250
10348943	1	99946399	99946505	10348943	false	NA
10348945	1	100160100	100161077	10348945	false	NA
10348947	1	100317701	100405957	Slco6d1	true	NM_027584
10348963	1	101947219	102382519	Cntnap5b	true	NM_172851
10348983	1	104392983	104434222	10348983	false	NA
10348994	1	105037098	105068659	10348994	false	NA
10348996	1	106409599	106410645	10348996	false	NA
10348999	1	106665106	106892058	Cdh20	true	NM_011800
10349014	3	NA	NA	10349014	false	NM_009797
10349016	1	107560490	107651697	2310035C23Rik	true	NM_173187
10349049	15	NA	NA	10349049	false	NM_026521
10349051	1	107677300	107744558	Tnfrsf11a	true	NM_009399
10349065	1	107887266	107928740	Zcchc2	true	NM_001122676
10349081	1	108068581	108290822	Phlpp1	true	NM_133821
10349100	1	108336177	108336450	10349100	false	NA
10349102	1	108438520	108471622	Bcl2	true	NM_009741
10349108	1	108757757	108779925	Serpinb5	true	NM_009257
10349118	1	108831026	108853657	Serpinb12	true	NM_027971
10349129	1	108877561	108897772	Serpinb13	true	NM_172852
10349138	1	109258891	109277052	Serpinb11	true	NM_025867
10349147	1	109319266	109349266	Serpinb7	true	NM_027548
10349157	1	109408000	109422175	Serpinb2	true	NM_001174170
10349166	1	109425580	109443827	Serpinb10-ps	true	NM_198028
10349174	1	109486592	109505486	Serpinb8	true	NM_011459
10349184	1	111878904	112036081	Cdh7	true	NM_172853
10349208	1	117581714	118477251	Cntnap5a	true	NM_001077425
10349233	1	118700555	118718043	10349233	false	NA
10349237	1	119432878	119433041	10349237	false	NA
10349239	1	120218425	120230401	Mki67ip	true	NM_026472
10349249	1	120285921	120506022	Clasp1	true	NM_001081276
10349295	1	120524522	120581745	Tcfcp2l1	true	NM_023755
10349314	1	121054423	121055142	10349314	false	NA
10349316	1	121422744	121424803	Tmem185b	true	NM_146103
10349319	1	121903555	121960115	Sctr	true	NM_001012322
10349333	1	122017764	122084766	3110009E18Rik	true	NM_028439
10349340	1	122237159	122239751	C1ql2	true	NM_207233
10349345	1	122499258	122504548	En1	true	NM_010133
10349348	1	123327644	123398170	Ccdc93	true	NM_001025156
10349376	1	124407126	124407284	10349376	false	NA
10349378	1	125941400	125942989	Dpp10	true	NM_199021
10349383	1	127457600	127492397	Slc35f5	true	NM_028787
10349401	1	127573570	127770439	Gpr39	true	NM_027677
10349404	1	129101595	129380288	Mgat5	true	NM_145128
10349429	1	129271708	129271816	10349429	false	NA
10349431	1	129625990	129664141	Acmsd	true	NM_001033041
10349442	1	129670741	129701414	Ccnt2	true	NM_028399
10349453	1	129765363	129840445	Rab3gap1	true	NM_178690
10349478	7	NA	NA	10349478	false	NM_009081
10349480	1	129999883	130134313	R3hdm1	true	NM_181750
10349510	1	130098932	130099013	Mir128-1	false	NA
10349512	1	130140739	130175954	Ubxn4	true	NM_026390
10349527	1	130386617	130386748	10349527	false	NA
10349529	1	131170040	132115857	Thsd7b	true	NM_172485
10349559	1	132613904	132618597	Yod1	true	NM_178691
10349562	1	132628663	132641199	AA986860	true	NM_177604
10349571	1	132697479	132711317	Fcamr	true	NM_001170632
10349580	1	132723328	132935042	Pigr	true	NM_011082
10349593	1	132762249	132777367	Faim3	true	NM_026976
10349603	1	132916424	132921547	Il10	true	NM_010548
10349610	1	133049773	133080313	Lgtn	true	NM_001136070
10349634	1	133212965	133213165	10349634	false	NA
10349637	1	133424480	133436449	Fam72a	true	NM_175382
10349644	1	133495691	133508577	Avpr1b	true	NM_011924
10349648	1	133534891	133572082	Ctse	true	NM_007799
10349661	1	133585272	133610045	5430435G22Rik	true	NM_145509
10349671	1	133640599	133666982	Slc26a9	true	NM_177243
10349694	1	133693972	133718049	Pm20d1	true	NM_178079
10349711	1	133724554	133745440	Slc41a1	true	NM_173865
10349724	1	133763869	133769464	Rab7l1	true	NM_144875
10349733	1	133807076	133829549	Nucks1	true	NM_175294
10349744	1	133859544	133879541	Slc45a3	true	NM_145977
10349752	1	133904453	133929182	Elk4	true	NM_007923
10349761	1	134088008	134155804	Lemd1	true	NM_001033250
10349769	1	134094665	134094761	Mir135b	false	NA
10349771	1	134181105	134181386	Gm7241	false	NA
10349773	1	134195203	134203934	Klhdc8a	true	NM_144810
10349782	1	134212715	134230065	Nuak2	true	NM_001195025
10349793	1	134314145	134363537	Dstyk	true	NM_172516
10349809	1	134329764	134402236	Rbbp5	true	NM_172517
10349821	1	134402807	134405216	Tmem81	true	NM_029025
10349826	1	134629022	134629375	Gm10538	false	NA
10349828	1	134776932	134836566	Lrrn2	true	NM_010732
10349832	1	134922441	134923016	10349832	false	NA
10349834	1	134942617	135002729	Pik3c2b	true	NM_001099276
10349868	1	135027960	135036360	Ppp1r15b	true	NM_133819
10349872	1	135061035	135070387	10349872	false	NA
10349876	1	135142683	135198278	Plekha6	true	NM_182930
10349904	1	135206377	135219603	Golt1a	true	NM_026680
10349913	1	135206404	135226478	Kiss1	true	NM_178260
10349922	1	135247243	135256897	Ren1	true	NM_031192
